,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
21,高家花园(停运161118),0,优,--,颗粒物（PM10）
22,解放碑(停运170928),0,优,--,颗粒物（PM10）
23,杨家坪(停运161118),0,优,--,颗粒物（PM10）
24,南泉(停运161119),0,优,--,颗粒物（PM10）
25,缙云山（对照点）,57,良,18,颗粒物（PM10）
26,歇台子(启用161118),57,良,34,颗粒物（PM10）
27,龙井湾(启用161118),51,良,32,颗粒物（PM10）
28,龙洲湾(启用161119),63,良,45,颗粒物（PM10）
29,上清寺(启用170928),53,良,32,颗粒物（PM10）
0,老年大学,85,良,39,颗粒物（PM10）
1,人大宾馆,102,轻度污染,36,颗粒物（PM10）
2,监测站,0,优,--,颗粒物（PM10）
3,市政府原办公楼(190307启用),80,良,57,颗粒物（PM10）
4,市政府原办公楼(20190308启用),17,优,10,颗粒物（PM10）
5,市政府原办公楼,84,良,23,颗粒物（PM10）
0,甘井子,44,优,12,颗粒物（PM10）
1,周水子,47,优,9,颗粒物（PM10）
2,星海三站,0,优,--,颗粒物（PM10）
3,青泥洼桥,49,优,9,颗粒物（PM10）
4,傅家庄,45,优,12,颗粒物（PM10）
5,七贤岭,45,优,9,颗粒物（PM10）
6,旅顺,44,优,18,颗粒物（PM10）
7,金州,47,优,19,颗粒物（PM10）
8,开发区,55,良,25,颗粒物（PM10）
9,双D港,0,优,17,颗粒物（PM10）
0,大理市环境监测站,31,优,12,颗粒物（PM10）
1,大理古城,34,优,23,颗粒物（PM10）
0,江湾东路,37,优,6,颗粒物（PM10）
1,临江后街,37,优,7,颗粒物（PM10）
2,元宝山,35,优,8,颗粒物（PM10）
3,民主桥,36,优,5,颗粒物（PM10）
0,大同区,32,优,22,颗粒物（PM10）
1,龙凤区,25,优,11,颗粒物（PM10）
2,红岗区,26,优,14,颗粒物（PM10）
3,萨尔图区,24,优,8,颗粒物（PM10）
4,让胡路区,22,优,9,颗粒物（PM10）
0,果树场,89,良,66,颗粒物（PM10）
1,红旗广场,0,优,--,颗粒物（PM10）
2,云冈宾馆,70,良,18,颗粒物（PM10）
3,大同大学,75,良,50,颗粒物（PM10）
4,安家小村,87,良,14,颗粒物（PM10）
5,教育学院,60,良,14,颗粒物（PM10）
6,供排水公司,0,优,--,颗粒物（PM10）
7,果树场(对照点),0,优,--,颗粒物（PM10）
8,红旗广场(停运160601),0,优,--,颗粒物（PM10）
9,第二人民医院(145搬迁启用200102),0,优,--,颗粒物（PM10）
10,供排水公司(停运200102),0,优,--,颗粒物（PM10）
11,大同市卫生学校(145),0,优,--,颗粒物（PM10）
12,云冈站(145),0,优,--,颗粒物（PM10）
13,图书馆(145),0,优,--,颗粒物（PM10）
14,区一中(145),0,优,--,颗粒物（PM10）
